,ID,3M Average,6M Average,1Y Average,3Y Average
1,CONCCONF Index,100.3333333,101.0666667,103.2,105.5472222
2,RCHSINDX Index,-9.666666667,-8.833333333,-7,-3.333333333
3,MXIRINUS Index,221289.4,219011.1429,213593.2,205058.2946
4,ACPMYOY Index,3.766666667,3.633333333,4.05,5.122222222
5,FRCCO Index,90.33333333,90.33333333,88.75,88.27777778
6,TUTBALBN Index,-6.17588,-7.268364,-6.824881818,-7.976362286
7,ECMAM3YY Index,1.883132778,1.270375867,0.201895257,3.429085536
8,SAFASASR Index,1668.7745,1620.0258,1584.914091,1616.798857
9,MBAVCHNG Index,-5.45,-4.328571429,-4.130769231,-3.445945946
10,RURSRYOY Index,6.9,8.9,10.58181818,2.871428571
11,RUUER Index,2.5,2.62,2.8,3.511428571
12,RUIPRNYY Index,3.6,4.72,4.727272727,3.351428571
13,RUWCWOW Index,0.11,0.108571429,0.152307692,0.168648649
14,EUCCEMU Index,-13.76666667,-14.38333333,-15.525,-16.825
15,SAPRFMGY Index,4.608305,4.691096,4.71903,9.322924
16,IBREGPMM Index,0.77,0.271666667,0.313333333,0.151666667
17,BZLNTOTA Index,5982.2795,5916.4254,5787.891182,5262.948
18,GRCP20YY Index,2.3,2.3,3.166666667,5.363888889
19,GRCP20MM Index,0.166666667,0.3,0.191666667,0.419444444
20,GRCP2HMM Index,0.3,0.45,0.2,0.475
21,GRCP2HYY Index,2.633333333,2.55,3.183333333,6.086111111
22,GDP CQOQ Index,2.8,2.1,3.125,2.483333333
23,GDPCTOT% Index,2.3,1.9,2.55,2.2
24,GDP PIQQ Index,2.3,2.7,2.575,4.575
25,GDPCPCEC Index,2.9,3.3,2.65,4.141666667
26,MWINCHNG Index,0.374705,0.145906,0.035720909,0.663935429
27,INJCJC Index,237.5,227.7142857,222.7692308,227.6216216
28,INJCSP Index,1848.5,1825.571429,1814.923077,1745.432432
29,RUREFEG Index,601.525,596.3285714,590.2538462,592.5621622
30,USPHTMOM Index,1.429555,0.07612,-0.203881818,-1.094596
31,KOIPIY Index,4.02546,4.002444,4.861366364,1.518743714
32,KOIPIMOM Index,-0.04333,0.463412,0.701690909,0.094959143
33,JNUE Index,2.55,2.58,2.545454545,2.597142857
34,JBTARATE Index,1.235,1.254,1.269090909,1.267142857
35,JNCPT Index,2.233333333,2.266666667,2.45,2.338888889
36,JNCPTXFF Index,2.066666667,2.116666667,2.241666667,2.152777778
37,JNIPMOM Index,-0.321565,0.454892,-0.267048182,-0.167556857
38,JNNETYOY Index,3.25,2.88,3.790909091,3.307487429
39,JNIPYOY Index,-3.358555,-3.712356,-2.826659091,-0.711695143
40,JNRETMOM Index,1.1,0.7,0.236363636,0.331428571
41,AURSTSA Index,0.55002,0.265412,0.233881818,0.568989143
42,OZCACRM% Index,0.517789932,0.497078504,0.463044209,0.531512382
43,OZCACRY% Index,5.381796685,5.240048778,5.050076505,6.528515095
44,JNHSYOY Index,-6,-3.82,-5.6,-1.217142857
45,UKNBAAMM Index,0.320726667,0.175966667,0.167511667,0.238635833
46,UKNBANYY Index,1.638983333,1.372503333,-0.808635833,3.945286944
47,SAMYM3Y Index,4.455,5.444,6.294545455,7.336285714
48,FRCPEECM Index,0.18195,0.393258333,0.226954167,0.396898889
49,FRCPEECY Index,2.599456667,2.631563333,3.589878333,4.811541944
50,FRCPIMOM Index,0.1,0.316666667,0.183333333,0.344444444
51,FRCPIYOY Index,2.2416,2.361545,3.1845775,4.188196111
52,FRGEGDPQ Index,0.3,0.3,0.275,0.516666667
53,FRGEGDPY Index,1.09648,1.27891,1.1730075,2.2623325
54,GRUECHNG Index,21.33333333,16.5,15.83333333,5.888888889
55,GRUEPR Index,5.966666667,5.933333333,5.858333333,5.541666667
56,ITMUURS Index,6.9374345,7.0367632,7.262333364,7.913965886
57,UKMSVTVX Index,60.055,60.4986,54.55154545,58.3216
58,ECCPEST Index,2.566666667,2.516666667,2.975,5.680555556
59,UMRTEMU Index,6.45,6.46,6.5,6.711428571
60,ECCPEMUM Index,0.133333333,0.4,0.208333333,0.444444444
61,CPEXEMUY Index,2.9,2.9,3.475,3.838888889
62,ITCPEM Index,-0.166666667,0.2,0.141666667,0.447222222
63,ITCPEY Index,1.1,1.033333333,1.758333333,5.572222222
64,ITPSSA Index,97.86666667,97.05,95.73333333,95.04444444
65,ITBCI Index,87.6,87.71666667,87.88333333,93.81388889
66,ITESECSE Index,94.6,95.38333333,95.59166667,98.41944444
67,BZDPNDT% Index,62.14540979,61.60395357,60.52987211,57.49206801
68,SATBAL Index,22.0968,15.27452,10.41211636,13.92691229
69,CAGDPYOY Index,1.10284,0.948885,0.797402,2.59709618
70,CGE9ANN Index,,1.659,0.483666667,2.507272727
71,CAGDPMOM Index,0.15598,0.17548,0.12911,0.191861471
72,PITLCHNG Index,0.312775,0.327588,0.373720909,0.355244857
73,PCE CRCH Index,0.365425,0.433666,0.406707273,0.532260857
74,PCE CMOM Index,0.15446,0.232334,0.225450909,0.32699
75,PCE CYOY Index,2.625395,2.740586,3.042508182,4.332507429
76,CHPMINDX Index,42.66480811,41.88424693,44.90445798,50.21583147
77,CONSSENT Index,67.9,72.86666667,70.69166667,65.58333333
78,CPMINDX Index,49.46666667,49.78333333,49.64166667,49.6
79,CPMINMAN Index,50.6,51.23333333,51,51.225
80,KOIMTOTY Index,0.333873333,-3.160353333,-8.1849675,7.291799444
81,KOEXTOTY Index,10.32935,8.670078333,6.234139167,5.370700556
82,JNVNYOYS Index,,6.8,8.866666667,6.609090909
83,MPMIIDMA Index,50.7,51.98333333,52.2,51.91388889
84,MPMIJPMA Index,49.83333333,49.08333333,48.79166667,50.54285714
85,MPMIKRMA Index,51.66666667,50.81666667,50.38333333,50.07222222
86,TDMIMOM Index,0.349003333,0.196166667,0.233834167,0.369331111
87,AUBAC Index,-0.401905,0.489448,0.211954545,-0.141190857
88,MPMICNMA Index,51.1,51.11666667,50.84166667,50.01666667
89,IDCPIY Index,2.492553333,2.713621667,2.7193425,3.400269167
90,MPMIINMA Index,57.96666667,58.11666667,57.30833333,56.32857143
91,MPMIRUMA Index,54.3,54.6,54.11666667,52.11388889
92,MPMITRMA Index,47.83333333,48.83333333,48.65,49.42777778
93,TUGPIGDY Index,,5.720426476,5.2545083,5.843222461
94,MPMIITMA Index,46.23333333,47.51666667,46.7,50.53611111
95,MPMIFRMA Index,45.26666667,45.73333333,44.625,48.95277778
96,MPMIDEMA Index,44.03333333,43.16666667,42.49166667,48.05555556
97,MPMIEZMA Index,46.3,46.2,45.2,49.53055556
98,ITPIRLQS Index,0.165,0.25,0.234,0.56775
99,ITPIRLYS Index,0.9,0.75,0.7,3.066666667
100,MPMIGBMA Index,51.4,50.18333333,47.8,50.42222222
101,ARTXTOTL Index,12195.8811,10037.87154,7613.48149,3780.753847
102,SAPMI Index,47.3,49.46666667,48.370899,51.00824862
103,BZW IPCS Index,0.43,0.376666667,0.377272727,0.519354839
104,MPMIBRMA Index,52.86666667,53.7,51.70833333,50.42777778
105,MPMIMXMA Index,50.63333333,51.23333333,51.26666667,50.29166667
106,KOCPIMOM Index,0.066666667,0.133333333,0.208333333,0.302777778
107,KOCPIYOY Index,2.566666667,2.8,3.083333333,3.882083333
108,JNMBYOY Index,0.848866667,1.4273,3.816563333,3.005589167
109,AUCABAL Index,,-4896,-2748.333333,4460.272727
110,MPMISAWA Index,55.26666667,56.16666667,56.63333333,56.96388889
111,TUCPIM Index,2.746666667,3.185,4.1075,4.170277778
112,TUCPIY Index,69.60804333,69.03185833,65.63596417,58.33974861
113,TUCXEFYY Index,68.87333333,71.755,70.42333333,54.89666667
114,TUDPYOY Index,49.71599333,50.59472,47.54004417,77.25455056
115,SAGDPYOY Index,,0.479148693,0.325681199,1.431132699
116,BZGDQOQ% Index,,0.8,0.266666667,0.681818182
117,BZGDYOY% Index,,2.45633,2.155453333,2.896445455
118,MXUERATE Index,2.698399715,2.548721206,2.681987366,3.087886173
119,MINVTYOY Index,5.97902,10.00748,15.527419,12.23094265
120,MPMICAMA Index,48.8,49.21666667,48.4,51.49722222
